Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
90,Qtum,QTUM,"$605,690,078.44",$6.1501,"98,484,582 QTUM *","$226,876,547.61",0.91%,5.72%,-18.83%
91,OKB,OKB,"$597,794,352.40",$9.9632,"60,000,000 OKB *","$255,179,276.67",0.50%,2.79%,-21.05%
92,Curve DAO Token,CRV,"$589,398,831.24",$1.5794,"373,181,738 CRV *","$117,175,105.95",0.59%,6.23%,-18.06%
93,KuCoin Token,KCS,"$580,993,333.07",$7.2517,"80,118,638 KCS *","$11,496,943.73",2.64%,7.90%,-8.74%
94,Fantom,FTM,"$553,330,261.74",$0.2174,"2,545,006,273 FTM *","$38,008,846.77",1.68%,2.10%,-29.86%
95,Ontology,ONT,"$544,344,317.61",$0.6288,"865,632,987 ONT *","$72,217,228.04",1.09%,2.86%,-24.52%
96,Siacoin,SC,"$540,077,667.39",$0.01123,"48,113,212,992 SC","$24,278,693.36",0.40%,2.98%,-15.75%
97,0x,ZRX,"$537,596,078.38",$0.636,"845,323,731 ZRX *","$41,284,206.03",1.69%,5.88%,-19.81%
98,OMG Network,OMG,"$519,568,633.46",$3.7047,"140,245,398 OMG *","$160,459,314.81",0.69%,4.34%,-19.42%
99,UMA,UMA,"$517,500,017.02",$8.3922,"61,664,168 UMA *","$26,145,570.48",0.23%,5.62%,-21.91%
100,BakeryToken,BAKE,"$504,265,633.42",$1.9372,"260,303,767 BAKE *","$99,196,160.56",3.07%,4.69%,-31.96%
101,Voyager Token,VGX,"$502,070,354.49",$2.2586,"222,295,208 VGX *","$1,270,567.57",0.14%,5.59%,-0.15%
102,SwissBorg,CHSB,"$493,915,515.04",$0.4939,"1,000,000,000 CHSB *","$2,002,892.86",0.93%,4.07%,-20.95%
103,Ankr,ANKR,"$498,427,680.51",$0.07124,"6,996,232,711 ANKR *","$18,935,506.11",1.54%,3.99%,-2.38%
104,Ravencoin,RVN,"$491,201,633.11",$0.05406,"9,085,500,000 RVN","$48,064,966.43",0.12%,6.83%,-18.46%
105,ICON,ICX,"$473,527,256.66",$0.7391,"640,706,460 ICX *","$31,570,502.07",1.49%,1.96%,-22.92%
106,1inch,1INCH,"$432,912,245.96",$2.5054,"172,793,241 1INCH *","$59,643,082.83",2.20%,6.77%,-26.53%
107,Livepeer,LPT,"$426,871,853.45",$20.17,"21,164,655 LPT *","$30,648,419.87",3.44%,8.47%,-20.08%
108,Neutrino USD,USDN,"$387,148,152.93",$1.0002,"387,082,070 USDN *","$10,733,639.72",-0.09%,-0.12%,-0.21%
109,Bitcoin Diamond,BCD,"$386,180,254.72",$2.0708,"186,492,898 BCD","$6,680,453.73",0.47%,7.62%,-15.25%
110,renBTC,RENBTC,"$371,099,625.90","$34,577.04","10,733 RENBTC *","$15,827,711.79",0.74%,8.21%,-3.03%
111,Flow,FLOW,"$363,637,454.50",$8.5704,"42,429,369 FLOW *","$47,052,648.14",1.45%,7.91%,-9.02%
112,Verge,XVG,"$360,110,396.13",$0.02187,"16,462,878,444 XVG","$18,908,476.64",0.77%,5.35%,-20.71%
113,Ren,REN,"$348,241,163.31",$0.349,"997,763,051 REN *","$22,887,662.13",0.87%,4.57%,-15.97%
114,Arweave,AR,"$344,556,806.42",$10.32,"33,394,701 AR *","$24,574,908.52",5.13%,14.75%,-43.93%
115,WazirX,WRX,"$339,192,409.61",$1.1546,"293,763,596 WRX *","$27,451,615.91",1.81%,4.01%,-18.90%
116,Loopring,LRC,"$338,943,141.69",$0.2766,"1,225,574,300 LRC *","$224,928,730.79",-1.94%,31.31%,1.92%
117,Nervos Network,CKB,"$332,722,716.80",$0.0124,"26,835,101,964 CKB *","$13,084,420.05",1.55%,5.35%,-20.93%
118,IOST,IOST,"$310,899,462.73",$0.01889,"16,454,275,775 IOST *","$64,698,496.99",1.78%,2.61%,-20.12%
119,MaidSafeCoin,MAID,"$300,331,147.16",$0.6636,"452,552,412 MAID *","$1,220,226.47",0.33%,7.85%,-3.52%
120,WINkLink,WIN,"$299,087,551.83",$0.0003903,"766,299,999,999 WIN *","$20,471,479.97",0.36%,2.95%,-14.97%
121,Reserve Rights,RSR,"$293,398,119.16",$0.02229,"13,159,999,000 RSR *","$25,354,064.79",1.46%,4.12%,-23.63%
122,Kyber Network Crystal Legacy,KNC,"$277,000,390.39",$1.3509,"205,045,092 KNC *","$32,845,841.33",0.95%,0.43%,-21.45%
123,Gnosis,GNO,"$269,124,964.00",$178.87,"1,504,587 GNO *","$1,620,402.99",-0.18%,31.67%,-1.88%
124,Lisk,LSK,"$257,994,442.07",$2.0089,"128,424,485 LSK *","$11,726,526.24",0.97%,2.77%,-19.22%
125,Ocean Protocol,OCEAN,"$252,352,627.66",$0.4116,"613,099,141 OCEAN *","$10,905,102.73",2.43%,2.51%,-16.60%
126,Golem,GLM,"$250,441,483.71",$0.2504,"1,000,000,000 GLM *","$3,588,799.66",1.85%,8.98%,-6.06%
127,GateToken,GT,"$249,907,797.50",$3.1461,"79,433,255 GT *","$5,253,359.59",0.19%,2.48%,-12.52%
128,Kava.io,KAVA,"$247,923,795.69",$3.5331,"70,172,142 KAVA *","$33,692,980.37",0.74%,2.39%,-12.82%
129,Wootrade,WOO,"$239,194,499.84",$0.6358,"376,235,705 WOO *","$42,532,245.11",4.04%,10.49%,-36.57%
130,Mina,MINA,"$242,244,027.55",$1.4793,"163,759,018 MINA *","$17,034,209.62",3.80%,7.39%,-26.80%
131,iExec RLC,RLC,"$232,140,907.41",$2.8992,"80,070,793 RLC *","$23,139,975.13",1.87%,6.61%,-15.53%
132,VeThor Token,VTHO,"$230,799,011.36",$0.006232,"37,033,118,161 VTHO","$20,563,145.27",0.92%,4.39%,-11.66%
133,SKALE Network,SKL,"$230,277,770.72",$0.2402,"958,853,025 SKL *","$41,894,780.22",0.39%,16.44%,-12.21%
134,Dent,DENT,"$230,508,739.34",$0.002338,"98,610,710,274 DENT *","$23,193,599.08",0.39%,5.00%,-21.16%
135,Conflux Network,CFX,"$220,705,609.25",$0.2602,"848,242,983 CFX","$25,147,849.87",1.17%,6.94%,-3.35%
136,Gemini Dollar,GUSD,"$219,990,221.57",$1.0084,"218,153,824 GUSD *","$9,371,150.24",0.30%,0.85%,0.86%
137,Origin Protocol,OGN,"$213,682,527.53",$0.681,"313,759,591 OGN *","$52,057,979.33",2.01%,9.64%,-21.62%
138,Reef,REEF,"$202,371,783.61",$0.01598,"12,666,667,338 REEF *","$60,335,658.66",-2.03%,14.48%,-17.61%
139,Ergo,ERG,"$201,145,063.33",$6.2833,"32,012,428 ERG","$1,323,555.39",-0.23%,5.01%,-21.53%
140,Prometeus,PROM,"$193,112,459.33",$11.74,"16,450,000 PROM *","$7,022,029.68",1.59%,2.06%,-16.76%
141,Venus,XVS,"$191,155,599.44",$18.63,"10,263,253 XVS *","$27,266,602.67",2.73%,6.48%,-29.43%
142,Storj,STORJ,"$188,154,730.07",$0.653,"288,139,087 STORJ *","$13,143,743.79",1.48%,4.10%,-20.69%
143,Energy Web Token,EWT,"$184,559,552.75",$6.1393,"30,062,138 EWT *","$710,080.08",2.15%,7.16%,-9.56%
144,Band Protocol,BAND,"$181,449,742.66",$5.1560,"35,191,821 BAND *","$29,792,763.35",2.46%,5.19%,-16.75%
145,Cartesi,CTSI,"$180,400,384.89",$0.4898,"368,330,973 CTSI *","$176,043,782.32",2.56%,18.15%,-3.66%
146,Swipe,SXP,"$177,459,129.05",$1.8644,"95,181,302 SXP *","$144,724,559.63",0.64%,7.01%,-15.45%
147,Uquid Coin,UQC,"$175,885,671.20",$17.59,"10,000,000 UQC *","$5,276,363.89",0.67%,4.99%,-14.51%
148,MCO,MCO,"$172,265,510.55",$10.91,"15,793,831 MCO *","$971,800.81",1.39%,8.07%,-11.70%
149,FUNToken,FUN,"$171,939,403.89",$0.01669,"10,298,879,189 FUN *","$2,063,495.99",0.28%,1.68%,-13.65%
150,Orchid,OXT,"$169,949,398.47",$0.2492,"681,999,067 OXT *","$36,936,998.12",0.75%,5.27%,-12.26%
151,Stratis,STRAX,"$170,092,629.25",$1.2817,"132,710,156 STRAX *","$2,948,968.83",1.92%,3.26%,8.24%
152,LockTrip,LOC,"$165,712,266.65",$11.08,"14,952,163 LOC *","$101,893.88",1.19%,13.23%,4.94%
153,ABBC Coin,ABBC,"$164,151,211.10",$0.192,"855,173,358 ABBC","$38,798,127.10",-0.16%,3.50%,-26.26%
154,Bitcoin Standard Hashrate Token,BTCST,"$159,995,791.18",$18.90,"8,464,090 BTCST *","$2,797,332.56",1.34%,5.02%,-22.45%
155,ZKSwap,ZKS,"$158,391,038.74",$0.8022,"197,440,000 ZKS *","$17,388,299.33",2.78%,6.81%,-16.60%
156,WAX,WAXP,"$158,640,538.66",$0.09575,"1,656,879,898 WAXP *","$2,214,972.23",0.66%,1.99%,-32.59%
157,Status,SNT,"$156,712,399.39",$0.04516,"3,470,483,788 SNT *","$10,853,805.71",0.24%,7.29%,-23.60%
158,NKN,NKN,"$156,896,563.27",$0.2241,"700,000,000 NKN","$19,114,153.68",-0.80%,12.81%,-18.33%
159,Ontology Gas,ONG,"$156,477,161.79",$0.5635,"277,695,513 ONG *","$6,235,215.65",1.76%,1.66%,-22.12%
160,IoTeX,IOTX,"$152,672,192.59",$0.016,"9,540,779,324 IOTX *","$9,909,410.73",0.93%,3.27%,-21.18%
161,NuCypher,NU,"$153,085,460.96",$0.2332,"656,500,000 NU *","$37,481,615.00",-0.92%,4.88%,-16.84%
162,Injective Protocol,INJ,"$149,958,321.76",$5.7994,"25,857,417 INJ *","$18,981,380.18",2.18%,8.11%,-24.27%
163,Celer Network,CELR,"$148,276,162.52",$0.02647,"5,601,205,665 CELR *","$22,853,560.35",0.68%,6.27%,-25.14%
164,Unibright,UBT,"$147,647,938.25",$0.9843,"149,999,999 UBT","$1,291,098.90",0.53%,7.72%,-18.92%
165,Fetch.ai,FET,"$142,829,274.92",$0.1914,"746,113,681 FET *","$28,666,052.56",-0.39%,2.27%,-27.00%
166,Serum,SRM,"$142,793,059.55",$2.8559,"50,000,000 SRM *","$35,096,049.13",1.00%,6.28%,-24.21%
167,Numeraire,NMR,"$141,891,096.75",$28.43,"4,991,336 NMR *","$17,833,805.52",1.13%,4.60%,-22.94%
168,StormX,STMX,"$141,835,581.29",$0.01418,"10,000,000,000 STMX *","$7,437,448.95",1.03%,6.97%,-26.32%
169,Aragon,ANT,"$139,175,036.61",$3.5137,"39,609,523 ANT *","$48,274,275.61",1.52%,2.96%,-14.65%
170,Augur,REP,"$136,669,578.91",$12.42,"11,000,000 REP *","$17,784,702.82",1.08%,6.35%,-23.02%
171,Hxro,HXRO,"$136,368,601.46",$0.6069,"224,693,272 HXRO *","$939,830.21",3.69%,7.43%,-7.02%
172,ZB Token,ZB,"$136,166,239.68",$0.2939,"463,288,810 ZB *","$2,530,279.95",1.25%,3.01%,-15.79%
173,SingularityNET,AGIX,"$134,183,551.61",$0.1547,"867,156,743 AGIX *","$3,107,661.27",2.48%,9.31%,-17.31%
174,The Sandbox,SAND,"$133,321,006.31",$0.1899,"701,888,415 SAND *","$15,541,269.55",0.64%,3.19%,-20.41%
175,Ultra,UOS,"$132,668,702.30",$0.4691,"282,789,762 UOS *","$1,115,161.74",-1.55%,10.26%,-8.68%
176,Civic,CVC,"$128,201,405.95",$0.1913,"670,000,000 CVC *","$36,195,462.42",1.13%,2.28%,-15.55%
177,BitShares,BTS,"$125,231,291.85",$0.04182,"2,994,330,000 BTS *","$6,698,644.60",0.75%,0.97%,-17.16%
178,Ampleforth,AMPL,"$120,594,548.64",$0.8515,"141,618,712 AMPL *","$6,120,303.49",1.17%,2.35%,-3.44%
179,Phala Network,PHA,"$117,942,121.47",$0.664,"177,634,380 PHA *","$20,343,724.01",0.63%,2.72%,-21.84%
180,TomoChain,TOMO,"$117,368,945.80",$1.4342,"81,834,888 TOMO *","$7,441,553.39",0.43%,7.79%,-19.49%
181,Enzyme,MLN,"$115,808,895.62",$64.60,"1,792,738 MLN *","$7,766,691.25",0.32%,8.14%,-24.75%
182,Orbs,ORBS,"$114,438,413.53",$0.05132,"2,229,950,518 ORBS *","$561,470.46",2.39%,1.04%,-10.81%
183,Balancer,BAL,"$113,532,624.18",$16.35,"6,943,831 BAL *","$27,489,603.10",0.97%,7.89%,-15.87%
184,RSK Infrastructure Framework,RIF,"$112,220,886.31",$0.1511,"742,686,676 RIF *","$1,608,476.58",0.13%,6.12%,-4.93%
185,Strike,STRK,"$110,562,896.69",$37.92,"2,915,778 STRK *","$542,058.86",0.18%,1.73%,-12.00%
186,Ardor,ARDR,"$109,018,972.81",$0.1091,"998,999,495 ARDR *","$3,972,488.50",0.23%,3.03%,-27.64%
187,Alpha Finance Lab,ALPHA,"$109,242,934.61",$0.3825,"285,579,035 ALPHA *","$12,816,918.79",1.63%,7.02%,-29.10%
188,Casper,CSPR,"$109,292,259.90",$0.1852,"590,273,359 CSPR *","$7,407,161.13",1.69%,-0.33%,-33.73%
189,Travala.com,AVA,"$108,503,656.57",$2.1847,"49,664,260 AVA *","$3,278,205.89",0.58%,2.18%,-18.39%
190,PAX Gold,PAXG,"$107,772,283.56","$1,791.40","60,161 PAXG","$15,499,254.10",0.34%,0.50%,0.63%
191,Function X,FX,"$104,864,888.08",$0.2879,"364,232,573 FX *","$364,967.72",1.00%,12.28%,-4.72%
192,Streamr,DATA,"$103,528,047.55",$0.1171,"884,250,679 DATA *","$27,156,344.00",1.21%,0.63%,-18.89%
193,Wanchain,WAN,"$102,418,228.66",$0.53,"193,243,236 WAN *","$2,112,880.23",0.68%,3.07%,-19.89%
194,JUST,JST,"$102,565,347.49",$0.04538,"2,260,326,706 JST *","$58,562,211.56",1.04%,3.19%,-17.72%
195,Steem,STEEM,"$100,671,242.67",$0.2505,"401,837,698 STEEM *","$1,573,343.49",0.86%,3.71%,-24.52%
196,Hive,HIVE,"$97,848,297.70",$0.2299,"425,588,892 HIVE *","$2,214,392.80",0.48%,3.59%,-21.51%
197,Utrust,UTK,"$98,152,545.84",$0.2181,"450,000,000 UTK *","$7,326,287.44",2.57%,9.31%,-20.73%
198,DODO,DODO,"$96,943,935.74",$0.8769,"110,551,965 DODO *","$101,259,223.76",2.65%,8.43%,-31.39%
199,Velas,VLX,"$95,713,557.83",$0.04505,"2,124,380,663 VLX *","$1,113,149.80",0.50%,7.30%,-16.73%
200,Divi,DIVI,"$95,388,661.75",$0.04023,"2,370,976,034 DIVI","$59,558.66",0.09%,3.95%,-11.52%
201,HEX,HEX,"$13,107,250,732.81",$0.07558,"173,411,074,413 HEX","$27,898,997.41",0.22%,8.84%,-18.84%
202,Egoras,EGR,"$3,773,936,724.68",$0.05792,"65,160,356,358 EGR","$1,125,843.11",2.31%,7.09%,-21.20%
203,Fei Protocol,FEI,"$2,032,397,372.27",$0.9956,"2,041,429,433 FEI *","$37,732,056.94",-0.26%,0.06%,-0.07%
204,Wrapped BNB,WBNB,"$2,006,253,135.98",$288.86,"6,945,361 WBNB *","$214,394,870.47",1.34%,4.11%,-15.35%
205,SafeMoon,SAFEMOON,"$1,879,912,658.85",$0.00000321,"585,536,366,402,812 SAFEMOON *","$11,536,913.15",<0.01%,7.72%,-19.15%
206,Counos X,CCXX,"$1,803,245,190.85",$101.08,"17,839,902 CCXX","$3,861,650.01",-0.01%,-1.09%,-0.17%
207,INO COIN,INO,"$1,429,524,327.92",$7.9417,"180,003,180 INO *","$302,105.22",0.69%,7.96%,181.38%
